,pos.x,pos.y,pos.z,ori.qx,ori.qy,ori.qz,ori.qw,is_calibrated,calibration_rms,space,streamix_timestamp
0,-9.102107048034668,-2.0300092697143555,1.763749361038208,-0.4778828024864197,0.21765634417533875,0.19252535700798035,-0.8289678692817688,True,0.05477770573499642,lab,2022-12-14 17:26:12.449377
1,-9.10254955291748,-2.029309034347534,1.7642607688903809,-0.47725704312324524,0.2145162969827652,0.19543427228927612,-0.8294662237167358,True,0.05477770573499642,lab,2022-12-14 17:26:12.461984
2,-9.10283088684082,-2.0287563800811768,1.7645506858825684,-0.6764048337936401,-0.21194903552532196,-0.05344173684716225,-0.7033479809761047,True,0.05477770573499642,lab,2022-12-14 17:26:12.470371
3,-9.10296630859375,-2.0282790660858154,1.7646329402923584,-0.476840615272522,0.21419163048267365,0.197295680642128,-0.8293488621711731,True,0.05477770573499642,lab,2022-12-14 17:26:12.481402
4,-9.103052139282227,-2.0279903411865234,1.7646677494049072,-0.47820964455604553,0.2109585702419281,0.19353581964969635,-0.8302746415138245,True,0.05477770573499642,lab,2022-12-14 17:26:12.488440
5,-9.103044509887695,-2.0274031162261963,1.7645621299743652,-0.4773608148097992,0.21645817160606384,0.196393683552742,-0.8286749124526978,True,0.05477770573499642,lab,2022-12-14 17:26:12.497783
6,-9.102777481079102,-2.0267586708068848,1.7642472982406616,-0.47842395305633545,0.21893978118896484,0.19428178668022156,-0.8279073238372803,True,0.05477770573499642,lab,2022-12-14 17:26:12.507468
7,-9.10304069519043,-2.025928258895874,1.7646790742874146,-0.46932294964790344,0.2275778353214264,0.20113006234169006,-0.829150915145874,True,0.05477770573499642,lab,2022-12-14 17:26:12.518914
8,-9.103198051452637,-2.025735855102539,1.7650820016860962,-0.4760671555995941,0.2135474681854248,0.19880452752113342,-0.8295989036560059,True,0.05477770573499642,lab,2022-12-14 17:26:12.525536
9,-9.103180885314941,-2.025160312652588,1.7650814056396484,-0.47607162594795227,0.21316204965114594,0.19912724196910858,-0.8296180367469788,True,0.05477770573499642,lab,2022-12-14 17:26:12.534243
10,-9.103042602539062,-2.025012969970703,1.7649213075637817,-0.43745559453964233,0.24472039937973022,0.1760489046573639,-0.8472021222114563,True,0.05477770573499642,lab,2022-12-14 17:26:12.540113
11,-9.103116989135742,-2.024778127670288,1.7650229930877686,-0.4730638265609741,0.2135924994945526,0.19175994396209717,-0.832956850528717,True,0.05477770573499642,lab,2022-12-14 17:26:12.547822
12,-9.102352142333984,-2.024315595626831,1.7647087574005127,-0.4725532829761505,0.214920312166214,0.1918453872203827,-0.8328853845596313,True,0.05477770573499642,lab,2022-12-14 17:26:12.558398
13,-9.102056503295898,-2.0239179134368896,1.7643113136291504,-0.4908338785171509,0.19894269108772278,0.19017836451530457,-0.8266414999961853,True,0.05477770573499642,lab,2022-12-14 17:26:12.564975
14,-9.10226821899414,-2.0236809253692627,1.7645885944366455,-0.48005416989326477,0.20307166874408722,0.186720609664917,-0.8327337503433228,True,0.05477770573499642,lab,2022-12-14 17:26:12.574312
15,-9.102181434631348,-2.0236339569091797,1.7645213603973389,-0.49006977677345276,0.19494371116161346,0.1927899420261383,-0.8274423480033875,True,0.05477770573499642,lab,2022-12-14 17:26:12.582545
16,-9.102509498596191,-2.023040771484375,1.7648513317108154,-0.4775696098804474,0.20657338201999664,0.19888582825660706,-0.8304812908172607,True,0.05477770573499642,lab,2022-12-14 17:26:12.590968
17,-9.102049827575684,-2.0232417583465576,1.764463186264038,-0.6748042106628418,-0.21196550130844116,-0.04371967911720276,-0.7055484652519226,True,0.05477770573499642,lab,2022-12-14 17:26:12.598906
18,-9.101444244384766,-2.0228710174560547,1.7638930082321167,-0.4812757968902588,0.21518288552761078,0.19246280193328857,-0.8276641964912415,True,0.05477770573499642,lab,2022-12-14 17:26:12.607755
19,-9.101298332214355,-2.0226998329162598,1.7639739513397217,-0.47875484824180603,0.22124947607517242,0.20177485048770905,-0.8253057599067688,True,0.05477770573499642,lab,2022-12-14 17:26:12.617734
20,-9.101015090942383,-2.022589921951294,1.7639707326889038,-0.44047707319259644,0.2524714469909668,0.17908206582069397,-0.8427146077156067,True,0.05477770573499642,lab,2022-12-14 17:26:12.625625
21,-9.100720405578613,-2.0225019454956055,1.7640818357467651,-0.6711698770523071,-0.20632201433181763,-0.05648115649819374,-0.7097692489624023,True,0.05477770573499642,lab,2022-12-14 17:26:12.634324
22,-9.100666046142578,-2.022430419921875,1.7644174098968506,-0.4805857241153717,0.2165413647890091,0.19982951879501343,-0.8259633779525757,True,0.05477770573499642,lab,2022-12-14 17:26:12.643331
23,-9.09963607788086,-2.022486925125122,1.763932466506958,-0.48328450322151184,0.22131718695163727,0.19580480456352234,-0.8240846395492554,True,0.05477770573499642,lab,2022-12-14 17:26:12.654107
24,-9.099468231201172,-2.022401809692383,1.7639784812927246,-0.47518184781074524,0.22547543048858643,0.18695858120918274,-0.8297046422958374,True,0.05477770573499642,lab,2022-12-14 17:26:12.660396
25,-9.099542617797852,-2.022223711013794,1.7648011445999146,-0.4824967384338379,0.2116241604089737,0.19810917973518372,-0.8265379667282104,True,0.05477770573499642,lab,2022-12-14 17:26:12.673542
26,-9.098539352416992,-2.022343635559082,1.7642581462860107,-0.6733185648918152,-0.2090575098991394,-0.056157905608415604,-0.706953763961792,True,0.05477770573499642,lab,2022-12-14 17:26:12.683735
27,-9.098273277282715,-2.0222790241241455,1.7651780843734741,-0.4365396499633789,0.2700338065624237,0.23279400169849396,-0.8260278701782227,True,0.05477770573499642,lab,2022-12-14 17:26:12.696410
